dimension,final_mean_subject,final_std_subject,best_mean_subject,best_std_subject,paper_mean,paper_std,macro_f1_mean_subject,macro_f1_std_subject
valence,92.35937455669045,4.57999147271433,94.66015607118607,3.872887485293332,93.72,3.21,91.78090596694298,4.849423962507783
arousal,92.5664059445262,4.546631886797317,94.87109372392297,3.877706566775313,93.38,3.73,91.0225515793326,5.504486532113458
