dimension,subject,mean_accuracy,std_accuracy,mean_best_accuracy,std_best_accuracy,mean_macro_f1,std_macro_f1,mean_best_macro_f1,std_best_macro_f1
arousal,s01,97.25000023841858,2.669270701835451,99.00000095367432,0.7499992847442627,97.09200724760412,2.7745759708554814,98.93673890610428,0.8069347036071616
arousal,s02,85.49999952316284,3.9607447891458887,88.87499928474426,3.281098943594994,84.48231872241652,3.714581467343803,87.98123018951941,3.121081018154817
arousal,s03,97.49999940395355,1.6770520493656718,98.62500071525574,1.1792477173247766,95.35307821206358,3.6148019312232953,97.0977566976774,3.516323344312712
arousal,s04,86.37499928474426,4.625000792580866,90.24999916553497,2.893958885860067,85.56633089727657,4.888874103501885,89.72153413549277,3.1462503479863613
arousal,s05,91.7499989271164,3.7996711403570833,95.6249988079071,2.183031968680542,91.64935290704457,3.8522778298363,95.595307912707,2.1879683928877722
arousal,s06,90.99999904632568,4.100304917593271,94.24999952316284,2.806243284341643,90.80656745689573,4.148973004565955,94.05457861315391,2.932446215708388
arousal,s07,93.12499821186066,2.9181549186512963,95.74999988079071,1.7853571572148597,92.44019981177544,3.157930427777109,95.40168182333416,1.8555070877879007
arousal,s08,96.37500047683716,1.5258206824839555,97.62500047683716,1.3050389530333468,96.19856681939734,1.6825844024749044,97.46927964175248,1.4516929583710367
arousal,s09,89.8749989271164,3.6422000023999046,92.37499952316284,3.184434267266924,89.37499737400815,3.739234404443665,91.98487937643088,3.1529990232398872
arousal,s10,96.3750010728836,2.125000217382467,97.74999976158142,1.457739036811859,96.29858188445627,2.17130353047053,97.70903902248503,1.4889107912094577
arousal,s11,78.37499976158142,4.1098208965140275,82.6250010728836,2.8749994868836084,76.9057309670738,4.241635935059959,81.18072122831153,3.4835743598174553
arousal,s12,91.25,4.437060139575673,95.24999976158142,3.7831871335664973,79.9271572601844,10.808587122840677,91.17190246817454,7.112715787763258
arousal,s13,91.99999928474426,3.3634055510092247,94.87499952316284,2.4011727433149916,79.67268725351848,7.685837150171381,88.38212952438181,5.266321251888427
arousal,s14,88.00000011920929,4.6165454114680315,90.75000047683716,4.22788389918418,85.52991659913698,5.138794621310095,89.40680397742699,4.641050041185348
arousal,s15,96.875,2.864112410707673,98.50000083446503,1.089724927325347,96.84342116307484,2.8600283201670464,98.48315629555557,1.096029367637131
arousal,s16,96.62500023841858,2.503124382791262,98.37500095367432,1.8582583047352361,96.55571836689943,2.610158736308195,98.35511037427439,1.8908277246149967
arousal,s17,85.74999988079071,3.499999386924674,88.24999928474426,2.318404019705492,85.30285286412945,3.6215484020244753,87.48280535252191,2.809105059287738
arousal,s18,90.24999916553497,2.549509487941383,93.37499856948853,2.4399034192962645,89.43273158890632,3.088427050460582,92.81421463819785,2.7256805627932907
arousal,s19,95.87499976158142,3.0129942512281236,97.87500023841858,2.9074266266855555,95.34921336120107,3.3519601301384108,97.65351582994613,3.2280724798543035
arousal,s20,98.00000071525574,1.1456446521207841,98.75000059604645,1.1180342553106053,96.99330814027952,1.7082355782007204,98.10077246091419,1.7726222978397495
arousal,s21,95.74999928474426,2.3848491032372165,97.87500083446503,1.6817034400617479,93.00537136205556,3.394850671249766,96.62223204632333,2.667273322299275
arousal,s22,93.62500011920929,3.3283823701814503,96.2500011920929,2.304886502225507,93.28873707179889,3.581234577887714,96.02023802306925,2.4838350728959027
arousal,s23,95.87500095367432,3.1149854028408597,98.00000071525574,1.3919417972585362,94.04263770159481,4.4221490847734986,97.28139825544224,1.699812103376332
arousal,s24,97.62500047683716,1.5258200965240774,99.25000071525574,0.82915540684388,95.4283275917518,3.512031846675855,98.6658428443193,1.527407241556496
arousal,s25,92.4999988079071,2.436698708508913,93.87499868869781,1.807104457392215,90.06812196917586,2.8487657410821083,91.97100295199427,2.182284560252174
arousal,s26,88.37499916553497,3.6678503462244127,90.74999809265137,2.861381129272496,88.06399758402368,3.5453510975348843,90.43039578600097,2.829099799016002
arousal,s27,95.87499976158142,2.3750011544484617,96.99999988079071,1.5000010530162957,95.20163740513557,2.7585905930037327,96.52988945598635,1.821635441583161
arousal,s28,88.62500071525574,3.5990441261968265,90.25000035762787,3.482097172001381,88.33312168083536,3.8102776433047794,90.11278329470703,3.4200327627307514
arousal,s29,97.87499964237213,1.7721817763580892,98.24999988079071,1.5000009536749086,97.75418519560128,1.8450113290777435,98.14177684384934,1.5677163885505874
arousal,s30,95.74999928474426,2.106538546802933,97.50000059604645,1.6770516050991038,95.69663914067421,2.115157581943445,97.46811361060736,1.676157442721567
arousal,s31,91.7499989271164,3.0720516549877424,95.25000035762787,1.9202867008033206,91.62506490619262,3.1260765123235497,95.16132660745535,2.065125995565925
arousal,s32,90.37499904632568,2.439901587113363,92.87499845027924,1.3750004226531247,88.43907003246116,2.516820757774687,91.61511674474905,1.413062663946992
valence,s01,97.50000059604645,1.767767374435708,98.87500047683716,1.3050382679417767,97.4741471790815,1.785443262413102,98.86426779431899,1.3168255248759462
valence,s02,87.24999904632568,4.499999615881692,90.62499940395355,2.5769408714491564,86.79206682715476,4.756602398816392,90.28601004647346,2.768186861879512
valence,s03,95.37499964237213,1.4842930520184368,97.50000238418579,0.968244913160668,95.26972795889337,1.5489255086247449,97.41152096481363,1.1386864037035611
valence,s04,84.12499964237213,3.356430701856314,87.9999989271164,2.692580776526895,83.39236316257409,3.0771788868359535,87.3092882120604,2.7812877003428738
valence,s05,93.99999797344208,2.4238414902379644,96.00000083446503,1.8371171773104482,93.67577536423072,2.6628903051109267,95.77883131969735,1.9225401207774988
valence,s06,90.87499916553497,3.994136845743657,94.49999868869781,2.031010452231266,85.24626722294192,7.256327663291337,92.07997383556523,3.134225470374396
valence,s07,95.87500035762787,2.9606805705022383,98.25000047683716,1.8708289801275486,94.77108390361062,3.8759201303345363,97.88953740930094,2.1686672458717444
valence,s08,96.1249989271164,2.527970326270577,97.75000035762787,2.0766563532099895,96.03099526714902,2.5698868526094123,97.70221720290144,2.093758101667484
valence,s09,92.4999988079071,2.90473704796052,94.8749989271164,2.5890412446601894,92.35640448139957,3.0875673665661294,94.83225510519192,2.6130134058586463
valence,s10,98.12500059604645,1.1524438976165323,98.8750010728836,0.8749991655349731,98.11472175797275,1.1585571284099656,98.86987397762854,0.878652263996964
valence,s11,81.875,4.001951903701999,84.62499976158142,3.8749983233796446,80.82393531261468,4.057440054852578,83.8347852845289,3.9764134671874536
valence,s12,87.49999940395355,3.061861448475042,92.24999904632568,2.4238401377321024,87.29452887010655,3.0681741877144333,92.0831101108477,2.489403180850414
valence,s13,86.99999809265137,3.2210247094395226,91.74999833106995,2.0310100120219094,86.29458449745499,3.370315804036423,91.39166349142819,2.088532483850667
valence,s14,89.62499976158142,3.309550771827732,91.74999952316284,3.1721445542233826,89.46252477953144,3.3898124235383627,91.65727428426956,3.1520165490310914
valence,s15,96.875,1.2808702417819946,98.12500059604645,1.505199866838219,96.83504469735998,1.274296053935046,98.10702360347486,1.5080037735658178
valence,s16,95.62499940395355,3.5465658490067655,97.75000095367432,2.1505814830544163,95.24536793989654,3.943535970846823,97.54300982638367,2.3857266034962086
valence,s17,83.1249988079071,3.2234485923742753,86.24999940395355,3.6228436107126503,82.76069173396534,3.2702901046841313,85.90461226276469,3.749150260642703
valence,s18,91.25000059604645,4.776243418430408,93.37499916553497,4.07162348672429,90.98711633506291,4.731827120079296,93.14000167229113,4.113187786751143
valence,s19,97.62500047683716,2.4011718745037265,98.62500071525574,1.891592975965482,97.46801672710234,2.6198361074674845,98.53840509303622,2.054152916817987
valence,s20,98.25000047683716,1.6007814875581476,98.75000059604645,1.2500000000007105,98.19267075852056,1.6510458219129374,98.70215432604311,1.3025550722757826
valence,s21,88.99999916553497,4.670385403924489,92.12499856948853,3.4482788326002716,88.94852577052254,4.701218609851284,92.08770603301224,3.4467608805336867
valence,s22,93.24999928474426,2.968585501681836,95.99999964237213,2.0766574295435953,93.04268885968762,3.0624514685340847,95.8800170023162,2.1532595626304607
valence,s23,97.00000047683716,1.8708294580280598,98.50000023841858,1.3462919101557618,96.50181743035814,2.2110444469987263,98.2966107183584,1.5782803568264745
valence,s24,94.12499904632568,2.564787564693742,96.49999976158142,1.920287011197786,93.97631598309795,2.620368632984705,96.40175829877835,2.0027771252353443
valence,s25,89.74999904632568,2.6100753940650816,91.87499821186066,2.3881212412384407,89.44224069533692,2.636872426050862,91.71233652021957,2.321184455804792
valence,s26,90.24999856948853,3.2015619977042182,91.99999868869781,3.1224981688386726,88.74555492355734,3.9629745369221587,90.93328539214187,3.6531483644600304
valence,s27,95.74999928474426,2.2500020927857345,97.87500023841858,1.2562355676471106,93.77886375981184,3.567357398939213,96.99947624261102,1.9184840514357757
valence,s28,88.99999976158142,3.0000000198689634,91.1249989271164,3.0847397568297903,88.04641469806761,3.501975318329841,90.29835353255605,3.688524093726898
valence,s29,97.25000083446503,1.9202882527756089,98.37500095367432,1.3750001517212984,97.15324368122995,2.0383229282069175,98.2984804518187,1.4981835846148892
valence,s30,97.37500131130219,1.0383290017945062,98.8750010728836,0.8749991655349731,96.94420904198111,1.2625651802827775,98.72187186721045,1.0115679948558003
valence,s31,92.62499868869781,1.625000467668584,95.12499988079071,1.9724670394955142,92.3910592228532,1.717925414079016,94.96559657374755,2.025531623231737
valence,s32,89.62499856948853,2.6838649518332374,92.24999845027924,2.7271770670050706,89.53002209904766,2.602874927783167,92.16964450949952,2.6983007956606966
