experiment_group,result_root,subject,dimension,fold,test_accuracy,test_loss,best_test_accuracy,best_test_loss,best_epoch,true_count_0,true_count_1,pred_count_0,pred_count_1,best_pred_count_0,best_pred_count_1,disable_dropout,train_keep_prob,standardize,train_phase_train,use_channel_attention,use_self_attention,split_protocol,train_split_units,test_split_units,source_csv
trial_level_s01_s08,full_acrnn,s05,arousal,4,0.20000001788139343,4.1435651779174805,0.3499999940395355,2.2131800651550293,141,20,140,110,50,84,76,0,0.5,0,0,1,1,trial,32,8,experiments/trial_level_s01_s08/full_acrnn/arousal/s05_summary.csv
trial_level_s01_s08,full_acrnn,s05,arousal,5,0.5437500476837158,1.7206401824951172,0.6187499761581421,1.3269593715667725,162,80,80,109,51,115,45,0,0.5,0,0,1,1,trial,32,8,experiments/trial_level_s01_s08/full_acrnn/arousal/s05_summary.csv
trial_level_s01_s08,full_acrnn,s06,arousal,1,0.5062500238418579,1.7959611415863037,0.7124999761581421,0.6360165476799011,80,100,60,51,109,118,42,0,0.5,0,0,1,1,trial,32,8,experiments/trial_level_s01_s08/full_acrnn/arousal/s06_summary.csv
trial_level_s01_s08,full_acrnn,s06,arousal,2,0.5,2.204801321029663,0.6000000238418579,0.7261991500854492,82,80,80,94,66,142,18,0,0.5,0,0,1,1,trial,32,8,experiments/trial_level_s01_s08/full_acrnn/arousal/s06_summary.csv
trial_level_s01_s08,full_acrnn,s06,arousal,3,0.5,2.1035051345825195,0.7124999761581421,0.6655009984970093,70,100,60,98,62,128,32,0,0.5,0,0,1,1,trial,32,8,experiments/trial_level_s01_s08/full_acrnn/arousal/s06_summary.csv
trial_level_s01_s08,full_acrnn,s06,arousal,4,0.53125,1.926805019378662,0.5687500238418579,1.5884337425231934,183,80,80,91,69,81,79,0,0.5,0,0,1,1,trial,32,8,experiments/trial_level_s01_s08/full_acrnn/arousal/s06_summary.csv
trial_level_s01_s08,full_acrnn,s06,arousal,5,0.46875,2.219196319580078,0.625,0.6840763092041016,1,100,60,47,113,160,0,0,0.5,0,0,1,1,trial,32,8,experiments/trial_level_s01_s08/full_acrnn/arousal/s06_summary.csv
trial_level_s01_s08,full_acrnn,s07,arousal,1,0.4625000059604645,3.68912410736084,0.5,0.6940978169441223,1,80,80,34,126,0,160,0,0.5,0,0,1,1,trial,32,8,experiments/trial_level_s01_s08/full_acrnn/arousal/s07_summary.csv
trial_level_s01_s08,full_acrnn,s07,arousal,2,0.668749988079071,1.691591501235962,0.75,0.6802817583084106,1,40,120,21,139,0,160,0,0.5,0,0,1,1,trial,32,8,experiments/trial_level_s01_s08/full_acrnn/arousal/s07_summary.csv
trial_level_s01_s08,full_acrnn,s07,arousal,3,0.35624998807907104,4.000253200531006,0.5,0.6947582364082336,1,80,80,31,129,0,160,0,0.5,0,0,1,1,trial,32,8,experiments/trial_level_s01_s08/full_acrnn/arousal/s07_summary.csv
trial_level_s01_s08,full_acrnn,s07,arousal,4,0.71875,1.0923354625701904,0.75,0.6676537394523621,1,40,120,13,147,0,160,0,0.5,0,0,1,1,trial,32,8,experiments/trial_level_s01_s08/full_acrnn/arousal/s07_summary.csv
trial_level_s01_s08,full_acrnn,s07,arousal,5,0.550000011920929,1.5210678577423096,0.625,0.6711249351501465,1,60,100,46,114,0,160,0,0.5,0,0,1,1,trial,32,8,experiments/trial_level_s01_s08/full_acrnn/arousal/s07_summary.csv
trial_level_s01_s08,full_acrnn,s08,arousal,1,0.30000001192092896,5.069202423095703,0.38749998807907104,0.9066184759140015,53,100,60,28,132,4,156,0,0.5,0,0,1,1,trial,32,8,experiments/trial_level_s01_s08/full_acrnn/arousal/s08_summary.csv
trial_level_s01_s08,full_acrnn,s08,arousal,2,0.4125000238418579,3.1901912689208984,0.625,0.6836674213409424,1,60,100,54,106,0,160,0,0.5,0,0,1,1,trial,32,8,experiments/trial_level_s01_s08/full_acrnn/arousal/s08_summary.csv
trial_level_s01_s08,full_acrnn,s08,arousal,3,0.637499988079071,1.7102534770965576,0.668749988079071,1.5785629749298096,148,60,100,62,98,63,97,0,0.5,0,0,1,1,trial,32,8,experiments/trial_level_s01_s08/full_acrnn/arousal/s08_summary.csv
trial_level_s01_s08,full_acrnn,s08,arousal,4,0.731249988079071,1.1285823583602905,0.7875000238418579,0.6625575423240662,65,40,120,39,121,22,138,0,0.5,0,0,1,1,trial,32,8,experiments/trial_level_s01_s08/full_acrnn/arousal/s08_summary.csv
trial_level_s01_s08,full_acrnn,s08,arousal,5,0.3187499940395355,3.9345624446868896,0.5,0.694689154624939,1,80,80,55,105,0,160,0,0.5,0,0,1,1,trial,32,8,experiments/trial_level_s01_s08/full_acrnn/arousal/s08_summary.csv
trial_level_s01_s08,full_acrnn,s01,valence,1,0.6000000238418579,2.001553773880005,0.625,0.6610111594200134,66,80,80,44,116,34,126,0,0.5,0,0,1,1,trial,32,8,experiments/trial_level_s01_s08/full_acrnn/valence/s01_summary.csv
